TOA5	Fabio	CR1000	38168	CR1000.Std.32.05	CPU:FAB07072021.CR1	20103	Horarios																																
TIMESTAMP	RECORD	ESTACION	TEMP_C_Avg	RH_Avg	RAD_KW_m2_Max	RAD_KW_m2_Min	RAD_MJ_m2_Tot	INT_sol	LLUV_mm_Tot	FREC_VIEN	DIR_PRED	VIENT_m_s_escalar	VIENT_m_s_S_WVT	DIR_vient_D1_WVT	DIR_vient_SD1_WVT	PRES_mb_Avg	QFF	Td_Avg	es_Avg	Anonymous1	Anonymous2	P_mar	TEMP_C_Std	RH_Std	VCORR_m_s_Std	VOLT_BAT_Max	VOLT_BAT_Min	TEM_LOG_Avg	PRES_mb_Std	VCORR_m_s_Max	RH_caja_Max	muestreoScan_Tot	ST_Avg	PAR_Den_Avg	PAR_Tot_Tot	ETos	Rso	Temp_suelo_Avg	Temp_suelo_Std
TS	RN		Deg C	%	kW/m2	kW/m2	MJ/m2	minutos	mm			meters/Sec	meters/Sec	Deg	Deg	mbar		Deg C	hPa				Deg C	%	meters/sec	Volts	Volts	Deg C	mbar	meters/sec	%		Deg C	umol/s*m2	mmol/m2	mm	MJ/m²	Deg C	Deg C
		Smp	Avg	Avg	Max	Min	Tot	Smp	Tot	Smp	Smp	WVc	WVc	WVc	WVc	Avg	Smp	Avg	Avg	Smp	Smp	Smp	Std	Std	Std	Max	Min	Avg	Std	Max	Max	Tot	Avg	Avg	Tot	ETos	Rso	Avg	Std
2021-07-09 13:00:00	0	84187	26.97	59.54	0.631	0.233	1.414518	56	1	687	2	2.805	2.558	43.36	23.88	916.7389	-99	18.34	35.61	-8	-8	-99	0.665	3.104	1.458	13.45	12.8	30.32	12.21	8.04	51.83	1138	27.97	636.2531	2172.168	0.161	3.912	26.64	0.944
2021-07-09 14:00:00	1	84187	27.57	55.98	0.93	0.375	2.009017	60	0	717	2	3.136	2.864	47.55	23.55	916.8137	-99	17.93	36.86	-8	-8	-99	0.347	1.812	1.845	13.45	13.36	31.18	0.251	9.64	12.14	1200	28.18	886.2256	3190.413	0.459	3.386	26.97	0.112
2021-07-09 15:00:00	2	84187	26.71	60.3	0.53	0.245	1.312325	60	0	659	2	2.65	2.398	59.99	23.89	915.9141	-99	18.27	35.06	-8	-8	-99	0.687	4.365	1.376	13.42	13.36	31.54	0.349	9.47	6.525	1200	27.81	582.087	2095.513	0.315	3.002	27.26	0.038
2021-07-09 16:00:00	3	84187	24.66	66.44	0.245	0.093	0.5023728	23	0	521	2	2.178	1.946	68.65	26.57	915.4686	-99	17.92	31.04	-8	-8	-99	0.445	1.119	1.172	13.49	13.37	29.33	0.29	8.49	5.274	1200	25.94	218.9688	788.2876	0.146	2.416	27.22	0.063
2021-07-09 17:00:00	4	84187	24.05	67.49	0.095	0.049	0.2482915	0	0	547	2	1.542	1.371	61.7	26.64	916.0503	-99	17.6	29.93	-8	-8	-99	0.15	0.987	0.985	13.53	13.22	26.82	0.241	6.37	5.174	1200	25.64	104.1133	374.8079	0.083	1.668	26.88	0.117
2021-07-09 18:00:00	5	84187	23.45	69.59	0.049	0	0.07067133	0	0	417	2	1.014	0.835	50.97	30.07	916.5513	-99	17.51	28.86	-8	-8	-99	0.195	0.831	0.713	13.29	12.87	25.39	0.243	4.247	5.242	1200	25.37	29.38786	105.7963	0.035	0.836	26.51	0.103
2021-07-09 19:00:00	6	84187	22.67	71.71	0	0	0	0	0	331	2	0.786	0.548	38.58	31.47	916.873	-99	17.24	27.53	-8	-8	-99	0.212	1.131	0.662	12.93	12.83	24.14	0.302	3.757	5.379	1200	24.64	0.2672416	0.9620699	0.015	0.117	26.15	0.102
2021-07-09 20:00:00	7	84187	21.86	76.01	0	0	0	0	0	593	2	0.858	0.784	47.99	23.06	917.4668	-99	17.37	26.2	-8	-8	-99	0.33	2.045	0.558	12.89	12.81	23.03	0.218	3.855	5.48	1200	23.82	0	0	0.012	0	25.8	0.093
